time,gFx,gFy,gFz,TgF
0.0130,0.0554,0.9996,0.0362,1.00
0.0300,0.0095,0.9779,0.0890,0.98
0.0450,-0.0113,0.9947,0.0880,1.00
0.0620,-0.0337,0.9730,0.1088,0.98
0.0790,-0.0213,0.9830,0.1383,0.99
0.0970,0.0276,0.9832,0.1127,0.99
0.1130,0.0633,0.9791,0.1095,0.99
0.1300,0.0664,0.9656,0.1383,0.98
0.1470,0.0525,0.9576,0.1772,0.98
0.1700,-0.0078,0.9576,0.2021,0.98
0.1700,-0.0054,0.9595,0.1991,0.98
0.1810,0.0137,0.9673,0.1657,0.98
0.1970,0.0422,0.9720,0.1036,0.98
0.2140,0.0457,0.9681,0.1097,0.98
0.2300,0.0408,0.9691,0.1295,0.98
0.2460,0.0347,0.9759,0.1486,0.99
0.2700,0.0308,0.9957,0.1290,1.00
0.2800,0.0291,0.9971,0.1129,1.00
0.2970,0.0413,0.9989,0.0860,1.00
0.3130,0.0486,1.0062,0.0902,1.01
0.3300,0.0371,1.0099,0.0728,1.01
0.3480,0.0225,1.0015,0.0958,1.01
0.3720,0.0002,0.9906,0.1112,1.00
0.3800,0.0012,0.9891,0.1224,1.00
0.4010,0.0295,0.9859,0.1530,1.00
0.4130,0.0388,0.9876,0.1449,1.00
0.4310,0.0278,0.9969,0.1073,1.00
0.4480,0.0205,1.0030,0.1102,1.01
0.4640,0.0110,0.9835,0.1114,0.99
0.4810,0.0107,0.9639,0.1134,0.97
0.5040,0.0041,0.9634,0.0938,0.97
0.5300,0.0420,0.9881,0.0704,0.99
0.5300,0.0420,0.9881,0.0704,0.99
0.5480,0.0571,0.9923,0.0587,1.00
0.5630,0.0545,0.9918,0.0399,0.99
0.5790,0.0518,0.9976,0.0484,1.00
0.5970,0.0261,0.9915,0.0885,1.00
0.6140,-0.0020,0.9754,0.1158,0.98
0.6380,0.0054,0.9791,0.0838,0.98
0.6620,0.0466,0.9857,0.0904,0.99
0.6630,0.0466,0.9857,0.0904,0.99
0.6740,0.0523,0.9796,0.0990,0.99
0.6910,0.0508,0.9891,0.1012,1.00
0.7070,0.0518,0.9913,0.1019,1.00
0.7370,0.0366,0.9739,0.0956,0.98
0.7610,0.0205,0.9539,0.1144,0.96
0.7620,0.0217,0.9564,0.1168,0.96
0.7790,0.0347,0.9742,0.1149,0.98
0.7970,0.0481,0.9815,0.1134,0.99
0.8130,0.0498,0.9732,0.1004,0.98
0.8300,0.0589,0.9835,0.0968,0.99
0.8470,0.0435,0.9825,0.0956,0.99
0.8700,0.0251,0.9808,0.1092,0.99
0.8710,0.0251,0.9808,0.1092,0.99
